web-scraper-order,web-scraper-start-url,link_to_ba,link_to_ba-href,name,description,link to about,link to about-href,Ba description long,link to passport,link to passport-href,education direction,campus and faculty,EGE,Money,number of students to accept,education time,form of education ,language 
"1710973666-1","https://ba.hse.ru/","Социология","https://www.hse.ru/ba/soc/","Социология","Программа направлена на подготовку специалистов, обладающих необходимыми навыками для анализа и выработки рекомендаций в экономической, политической или социальной сферах. Отличительной чертой образовательного процесса является тесная связь обучения и исследований, а также практическая ориентация подготовки студентов. Вовлечению будущих бакалавров в исследовательскую деятельность, выработке навыков проектной работы способствуют базовые кафедры ведущих российских маркетинговых компаний и научно-учебные лаборатории.Выпускники программы отвечают самым высоким требованиям рынка труда в области изучения рынков, общественного мнения, рекламы и связей с общественностью, а также академических исследований.С 2015 года Вышка входит в рейтинг QS – World University Rankings by Subject по предмету Sociology, поднявшись за 4 года из группы 151-200 до группы 51-100, став лидером по этому предметному рейтингу среди российских вузов.","О программе","https://www.hse.ru/ba/soc/about/","О программеОбразовательная программа НИУ ВШЭ «Социология» направлена на подготовку специалистов, обладающих необходимыми навыками для анализа процессов и закономерностей, происходящих в экономической, политической или социальной сферах общества. Отличительной чертой образовательного процесса является участие в реальных научных исследованиях, хорошая подготовка по ряду смежных дисциплин и высокий уровень владения английским языком. Учебные программы и курсы соответствуют самым высоким мировым стандартам, что позволяет выпускникам продолжать обучение за рубежом.

Что я буду изучать?
Наряду с социологическими дисциплинами студентам предлагается углубленное изучение смежных дисциплин:

Экономика;
Психология;
История.

Помимо основной специализации студенты имеют возможность самостоятельно выбирать один из дополнительных профилей обучения. При этом обязательным для всех является расширенное изучение цикла экономических дисциплин.
Для студентов выбравших образовательный трек «Вычислительные и социальные науки» доступен к изучению особый̆ модуль дисциплин, нацеленный̆ на освоение углубленного анализа данных и программирования на более глубоком уровне.
Большое внимание уделяется преподаванию английского языка. Уже в бакалавриате студентам предлагаются профессиональные дисциплины на английском языке, которые читают преподаватели, приглашенные на постоянную работу из США, Великобритании, Германии и других стран. 
Особенности программы
Программа предлагает три специализации:

«Социальная теория и прикладное социальное знание»;
«Прикладные методы и технологии социальных исследований»;
«Экономическая социология».

На факультете действуют базовые кафедры ведущих российских маркетинговых компаний, где студенты знакомятся с тем, как работают «фабрики по производству данных», участвуют в полевых исследованиях и аналитической работе, а также проектно-учебные лаборатории и группы.

Базовые кафедры:

Фонд «Общественное мнение»;
Всероссийский центр изучения общественного мнения (ВЦИОМ).

Проектно-учебные лаборатории и группы:

Лаборатория экономико-социологических исследований (ЛЭСИ);
Проектная группа «Исследования Интернета»;
Межфакультетская проектная группа «Методы измерения в социальных науках».

У кого я буду учиться?
Преподаватели программы – ведущие российские социологи, а также международные специалисты, работающие в НИУ ВШЭ на постоянной основе.
Где я буду работать?
Теория и методы социологии востребованы везде, где нужно собирать и анализировать информацию об обществе и принимать соответствующие решения: в бизнесе, государственной деятельности, политике, массмедиа. Выпускники программы работают в ведущих организациях, изучающих социальные процессы или занимающихся маркетингом и анализом современных рынков; в крупных компаниях в области рекламы, связей с общественностью и массмедиа, а также в органах госуправления. Среди основных работодателей:

исследовательские институты (НИСП, Институт социологии РАН и др.);
компании, изучающие общественное мнение (ФОМ, ВЦИОМ, Группа РОМИР: НИСПИ, АИСТ, АРПИ);
фирмы, проводящие маркетинговые исследования (КОМКОН-2, Ipsos, ARMI-Marketing, Magram MR, Nielsen Company, Synovate Comcon, «Радар»);
компании, работающие в сфере медиапланирования (TNS Global и др.);
аналитические управления крупных российских и международных компаний (Kaspersky Lab, «МегаФон», «Рольф», Procter&Gamble, Unilever, Kraft Foods, Kimberly-Clark, Google);
университеты;
рекламные и PR-агентства;
HR-агентства (поиск персонала);
министерства и ведомства (Минэкономразвития и др.);
финансово-кредитные учреждения (Сбербанк России и др.).

Где я смогу продолжить обучение?
Выпускники программы «Социология» могут продолжить обучение в магистратуре НИУ ВШЭ, а также в вузах-партнерах за рубежом:

Экономический университет Вены (Австрия);
Университет Шеффилда (Великобритания);
Университет Йены (Германия);
Университет Кёльна (Германия);
Свободный университет Берлина (Германия);
Университет им. Гумбольдта (Германия);
Университет Париж-Запад;
Нантер-ля-Дефанс (Франция);
Высшая школа социальных и экономических наук (Франция);
Карлов университет (Прага).","Абитуриентам","https://www.hse.ru/ba/soc/admission/","39.03.01 Социология","Кампус в Москве
Факультет социальных наук","Математика (минимальный балл: 60) / Информатика и информационно-коммуникационные технологии (минимальный балл: 60)
Обществознание (минимальный балл: 60)
Русский язык (минимальный балл: 60)","450 000 руб. в год","115 бюджетных мест7 государственных стипендий Правительства РФ для иностранцев50 платных мест1 платное место для иностранцев","4 года","Очная","Обучение ведется на русском и частично на английском языке"
"1710973679-2","https://ba.hse.ru/","Психология","https://www.hse.ru/ba/psy/","Психология","Бакалаврская программа «Психология» разработана с учетом структуры и содержания программ ведущих российских, европейских и американских вузов и готовит исследователей и практиков, специализирующихся в области когнитивной, социальной и организационной психологии, а также психологии личности и психологического консультирования. В процессе обучения студенты осваивают новейшие междисциплинарные направления на стыке психологии, нейробиологии, лингвистики, экономики, математики и социологии.","О программе","https://www.hse.ru/ba/psy/about/","О программеНаша программа разработана с учетом лучших российских и мировых практик в преподавании психологии. Основными принципами при подготовки психологов мы считаем открытость, гибкость и индивидуальный подход. Наши выпускники – это высококвалифицированные психологи-исследователи и психологи-практики, востребованные в государственных и частных компаниях.
    Какова цель программы?  В чем преимущества программы?  В чем уникальность программы?  Как я буду учиться?  У кого я буду учиться?  Чему я научусь?  Где я буду работать?     Какова цель программы?  Программа нацелена на подготовку    высококвалифицированных,  уникальных для российского рынка специалистов,  владеющих современными методами психологического исследования, диагностики и воздействия,  востребованных в крупных российских и западных компаниях,  конкурентоспособных при поступлении на магистерские программы ведущих европейских и американских университетов.   В чем преимущества программы?  Интегрированность в международное профессиональное сообщество (диплом  НИУ ВШЭ с квалификацией “психолог” позволяет выпускнику быть кандидатом на получение профессионального сертификата EuroPsy (европейское подтверждение квалификации).  Гибкие траектории обучения (более 50% дисциплин и практикумов студент выбирает самостоятельно, начиная с 3 курса, учебный план студента состоит только из дисциплин, которые он выбрал сам).  Уникальное профессиональное сообщество (возможность учиться у известных российских и западных специалистов).  Ранняя профессионализация (практики, проектная и научно-исследовательская работа занимают более 25% от общего времени обучения, у студентов есть возможность проходить профессиональные стажировки и практики в компаниях, центрах и университетах-партнерах, начиная с 1 курса).  Разнообразные профессиональные треки (начиная с 3 курса, студент может выбрать одну из трех основных специализаций и любой из 9 профессиональных треков).  Мобильность (возможность включать в индивидуальный учебный план дисциплины российских и западных университетов-партнеров, участвовать в научных конференциях, школах и стажировках).  В чем уникальность программы?  Дополнительная специализация (возможность выбрать любое из 23 направлений подготовки НИУ ВШЭ в качестве дополнительной специализации).  Включенность в научное сообщество (возможность выполнять проекты, курсовые и выпускные работы в любой научной лаборатории департамента психологии и НИУ ВШЭ, а также научных центрах и институтах-партнеров программы, начиная с 1 курса).  Высокая технологичность (возможность работать с уникальным для России профессиональным оборудованием).  Двуязычная образовательная среда (учебные дисциплины преподаются как на русском, так и на английском языке, у студентов есть возможность работать над научными проектами с иностранными специалистами и выполнять курсовые и выпускные работы на английском языке, в конце 2 курса всем студентам предоставляется возможность сдать экзамен IELTS).  Как я буду учиться?  Учебный год состоит из четырех модулей. В каждом модуле студент изучает четыре-пять дисциплин, посещает лекции, семинары, практические занятия и мастер-классы, активно участвует в проектной и научной работе, знакомится с ведущими специалистами в науке и практике - преподавателями программы и будущими работодателями.  На первом курсе студенты получают классическое базовое университетское образование, изучают Философию, Историю, Экономику, Социологию, Английский язык, Анатомию и физиологию центральной нервной системы, а также базовые психологические дисциплины - Историю психологии, Психологию познания, Психологию эмоций и мотивации, Психологию личности и индивидуальных различий.  На втором курсе студенты погружаются в отраслевые направления психологии, изучают Экспериментальную, Возрастную, Социальную и Клиническую психологию, проходят профессиональные практикумы. Ориентированные на научные исследования студенты второго курса могут начать посещать специальные занятия по планированию и организации психологического исследования, а студенты, желающие развиваться в практических направлениях, прослушать дисциплину о правовых и этических аспектах психологической практики. Именно на втором курсе в рамках специально выделенного учебного дня начинается обучение студента на выбранной им дополнительной специализации.  С третьего курса студенты обучаются на выбранной ими специализации    социальная и организационная психология,  когнитивная психология и психофизиология,  исследования личности и консультирование.   Вне зависимости от выбранной специализации и трека у каждого студента третьего курса с 1 по 30 апреля прекращаются учебные занятия и начинается практика в ведущих российский и зарубежных компаниях, исследовательских лабораториях и центрах. Кроме того к концу третьего курса студенты заканчивают осваивать дополнительную специализацию.  На четвертом курсе студенты продолжают обучение на выбранном треке, готовятся к сдаче итогового государственного экзамена и защите выпускной квалификационной работы.    Активная научная и учебная работа не мешает студентам с первого дня учебы жить насыщенной студенческой жизнью.  У кого я буду учиться?  Преподаватели программы - это уникальное сообщество профессионалов в области когнитивной науки, психологического консультирования, исследований личности, социальной и организационной психологии. На нашей программе вы сможете поучиться у известных ученых Фаликман Мария ВячеславовнаДепартамент психологии: РуководительШадриков Владимир ДмитриевичПрофессор факультета социальных наук Петровский Вадим АртуровичПрофессор кафедры психологии личностиПоддьяков Александр НиколаевичПрофессор департамента психологииЛеонтьев Дмитрий АлексеевичЗаведующий Международной лабораторией позитивной психологии личности и мотивацииНартова-Бочавер Софья КимовнаПрофессор департамента психологииУточкин Игорь СергеевичДепартамент психологии: ПрофессорКлючарёв Василий АндреевичИнститут когнитивных нейронаук: ДиректорПриобрести бесценный опыт на занятиях известных практиков – А.Я.Варги, А.Б.Орлова, Т.Ю.Базарова.  Ежегодно к работе со студентами мы привлекаем ведущих западных психологов и представителей известных российских и западных компаний. Наши студенты имели возможность услышать лекции Д.Майерса (профессор психологии мичиганского Хоуп-колледжа, автор одного из самых известных учебников по социальной психологии), К.Шелдона (руководитель Международной лаборатории позитивной психологии, личности и мотивации ВШЭ, профессор Университета Миссури), А.Лэнгле (австрийский психотерапевт, клинический психолог, профессор медицины и философии, основатель Международного общества логотерапии и экзистенциального анализа GLE-International), Дж.Берри (известный кросс-культурный психолог, почетный профессор психологии Королевского университета Кингстона (Канада)), В.Шауфели (ведущий в мире специалиста по проблеме увлеченности персонала, профессор Утрехтского Университета (Нидерланды)) и многих других известных психологов.  Чему я научусь?  На нашей программе студенты учатся быть профессионалами в самых разных областях психологии: психологическом консультировании, работе с персоналом, психодиагностике и психологических исследованиях.  Студенты получают фундаментальные знания о том как     люди принимают решения и обдумывают задачи  наш мозг познает мир и обучается  устроены сообщества людей и отдельные его представители  мы выстраиваем отношения с другими людьми и самим собой  помочь человеку в сложной ситуации  проводить психологические эксперименты и научные исследования   В процессе обучения у студентов формируются профессиональные навыки  анализа социальных ситуаций    анализа потребительского поведения  модерации групповой работы  разработки программ обучения и оценки  индивидуального и группового консультирования  психодиагностики личности  работы с уникальным для России исследовательским оборудованием и универсальные навыки, необходимые для успешной работы в современном мире  самопрезентации  саморегуляции  эффективного принятия решений  групповой работы  проектной работы  самостоятельного планирования собственного обучения   Где я буду работать?  Более 70% выпускников нашей программы работают по специальности после окончания программы бакалавриата. Они востребованы в крупнейших российских и международных компаниях и консультационных центрах: Royal Philips Electronics, Экопси Консалтинг, Microsoft, IBM, General Electric, Сбербанк, Банк ""Открытие"", МТС, Kelly Services, Анкор, Антал, Вимм-Билль-Данн, Норильский никель, Центр кадровых технологий – XXI век, Гуманитарные технологии и др. Наши выпускники работают в следующих сферах:    Консалтинга в российских и международных компаниях  Психологического консультирования (центры психологического консультирования и психотерапии)  Науки и образования в ведущих университетах России и мира  Обучения и развития персонала  Подбора, адаптации и оценки персонала  Мотивации персонала  Психологических маркетинговых исследований  Экспертизы PR-кампаний, развития бренда, построения имиджа   Около 5% продолжают свое обучение в зарубежных университетах: Университет Калифорнии (США), Нью-Йоркский университет (США), Сямыньский университет (Китай), Венский университет (Австрия), Университет Гронингена (Нидерланды), Лондонская школа экономики и политических наук (Великобритания), Женевский университет (Швейцария), Брюссельский свободный университет (Бельгия) и др.","Абитуриентам","https://www.hse.ru/ba/psy/admission/","37.03.01 Психология","Кампус в Москве
Факультет социальных наук","Биология  (минимальный балл: 60)
Математика (минимальный балл: 60)
Русский язык (минимальный балл: 60)","590 000 руб. в год","80 бюджетных мест20 государственных стипендий Правительства РФ для иностранцев50 платных мест3 платных места для иностранцев","4 года","Очная","Обучение ведется на русском и частично на английском языке"
"1710973715-3","https://ba.hse.ru/","Политология","https://www.hse.ru/ba/political/","Политология","Инновационная программа обеспечивает сочетание фундаментальной и практико-ориентированной подготовки. Чтобы профессионально разбираться в политике, необходимо широкое образование. Наряду с изучением специальных дисциплин — политических технологий, современной российской политики, сравнительной политологии, политической теории — студенты получают знания в области экономики, социологии, права, статистики, языков программирования.Выпускники имеют возможность работать в органах государственной власти, в сфере политических исследований, политического анализа и консультирования, PR, GR, а также во многих других областях, в которых нужны аналитические навыки и полезен широкий кругозор.","О программе","https://www.hse.ru/ba/political/about/","О программеПрограмма «Политология», реализуемая на факультете социальных наук готовит высококлассных профессионалов в областях, связанных с политикой, и дает широкий набор компетенций, обеспечивающих адаптивность и гибкость на современном рынке труда. Отличительная черта программы – не только мощная подготовка в области методов исследования политики и общества (от навыков проведения интервью до анализа данных в средах R и Python), но и чтение курсов ведущими российскими специалистами практиками в области политических технологий, политической экспертизы, электорального анализа и государственной политики. Наряду с этим наши студенты осваивают огромное наследие политической и моральной философии и изучают смежные обществоведческие дисциплины (социологию, экономику, психологию). Преподаваемая у нас политическая наука соответствует мировым стандартам, о чем свидетельствуют и международные рейтинги. Редкий набор компетенций позволяет нашим выпускникам успешно строить карьеру в государственных органах власти и крупных частных компаниях, в аналитических и консалтинговых агентствах, продолжать учебу в ведущих университетах Европы и США 

	
	
	
        
        Развернуть все
            Что я буду изучать?
        
        
        
        
            
	Сравнительную политику
	Современную российскую политику
	Мировую политику и международные отношения
	Политическую теорию
	Политическую регионалистику
	Формирование государственной политики
	Качественные методы в политических исследованиях
	Интегрированные коммуникации
	GR и политические технологии
	Программирование в R и Python
	Эконометрику
	Теорию игр


Программа предлагает курсы, направленные на формирование не только профессиональных компетенций в области политического анализа и политических технологий, но и разнообразных универсальных знаний и навыков:


	в области современных методов исследования общества (качественных и количественных);
	в области менеджмента и коммуникаций;
	в области практической (политической и моральной) теории и философии;
	практико-ориентированные и аналитические курсы от наших выпускников и потенциальных работодателей.


        
        
    
    
	
        
        
            Особенности программы 
        
        
        
        
            
	Широкий спектр преподаваемых дисциплин, позволяющий получить по-настоящему разностороннее образование.
	Множество курсов по выбору, дающих студентам возможность формировать индивидуальную образовательную траекторию.
	Возможность международных стажировок.  
	Участие в научно-исследовательских и проектных семинарах, а также в работе различных лабораторий НИУ ВШЭ.
	Возможность участвовать в полевых экспедициях, где студенты могут отработать свои навыки на практике прямо в процессе обучения.


        
        
    
    
	
        
        
            Где я буду работать 
        
        
        
        
            
	В аналитических, консалтинговых и коммуникационных агентствах: КРОС, PricewaterhouseCoopers, McKinsey&Company, Группа ИМА
	В PR- и GR-отделах крупных государственных и частных корпораций: ЛУКОЙЛ, «Лаборатория Касперского», «Газпромнефть-Развитие», «Яндекс», SberX, «Роснефть», ГК «Росатом»
	В органах государственной власти: Государственная Дума ФС РФ, Администрация Президента РФ, Минэкономразвития, федеральные и региональные ведомства
	В научно-исследовательской и образовательной сферах: НИУ ВШЭ, ВЦИОМ, независимый фонд «Центр политических технологий», Фонд «Общественное мнение»
	В аналитических отделах ведущих российских СМИ


        
        
    
    
	
        
        
            Продолжение обучения 
        
        
        
        
            Выпускники программы продолжали или продолжают обучение на магистерских и аспирантских программах НИУ ВШЭ, на PhD-программах в Колумбийском университете (США), Калифорнийском университете в Лос-Анджелесе (США), Нью-Йоркском университете (США), Университете Рочестера (США), на магистерских программах Центрально-Европейского университета (Будапешт – Вена), Роттердамского университета (Нидерланды), Марбургского университета (Германия), Лондонской школы экономики (Великобритания), Стокгольмского университета (Швеция), Университета Мангейма (Германия) и других.

        
        
    
    










    
    
    
    
        
            Часто задаваемые вопросы о программе","Абитуриентам","https://www.hse.ru/ba/political/admission/","41.03.04 Политология","Кампус в Москве
Факультет социальных наук","История (минимальный балл: 60)
Обществознание (минимальный балл: 60) / География (минимальный балл: 60) / Иностранный язык (минимальный балл: 60)
Русский язык (минимальный балл: 60)","500 000 руб. в год","40 бюджетных мест15 государственных стипендий Правительства РФ для иностранцев20 платных мест5 платных мест для иностранцев","4 года","Очная","Обучение ведется на русском и частично на английском языке"
"1710973747-4","https://ba.hse.ru/","Программа двух дипломов НИУ ВШЭ и Университета Кёнхи «Экономика и политика в Азии»","https://www.hse.ru/ba/epa/","Программа двух дипломов НИУ ВШЭ и Университета Кёнхи «Экономика и политика в Азии»","Практикоориентированная англоязычная программа бакалавриата двух дипломов ведущих университетов России и Азии. При поступлении абитуриент зачисляется в два университета. Первый, второй и четвертый годы обучения реализуются в Москве, третий год все студенты обучаются в странах Азии и в Университете Кёнхи (г. Сеул).Выпускник программы получает:государственный диплом бакалавра НИУ ВШЭ по направлению «Зарубежное регионоведение»/«Публичная политика и социальные науки»диплом Bachelor of International Studies Университета Кёнхиприложение к диплому по одной из двух дополнительных специализаций: International Business или International RelationsЭто позволит выпускникам продолжить обучение в магистратуре и/или построить свою карьеру, связанную со странами Азии, по широкому кругу специальностей.","О программе","https://www.hse.ru/ba/epa/about/","О программеUnique, Inspiring, Intense  Программа двух дипломов «Economics and Politics in Asia» базируется на лучших образовательных традициях регионоведения России и зарубежных стран, сочетая фундаментальную университетскую подготовку и практикоориентированный подход. Основными преимуществами программы являются:


    
        
    	
        	
        		
        		    
        		    
                
                Признанная на международном уровне квалификация. Программа двух дипломов обеспечивает конкурентные преимущества выпускников на российском и зарубежных рынках труда, являясь единственной в России бакалаврской программой двух дипломов по зарубежному регионоведению, реализуемой совместно с ведущими университетами стран Азии.

                
        	
    	
    	
    	
        	
        		
        		    
        		    
                
                Обучение на английском языке открывает возможности не только свободного общения в международном академическом сообществе, но и совершенствования имеющихся навыков академического письма, а также публичных выступлений на английском языке. Кроме того, такое обучение позволяет расширить кругозор и выйти за пределы университетского образования одной страны.

                
        	
    	
    	
    	
        	
        		
        		    
        		    
                
                Общение в интернациональном коллективе преподавателей, исследователей и студентов. Студенты программы могут ежегодно участвовать в летних школах, организованных на базе университетов-партнеров программы: Университета Кёнхи, Фуданьского университета, университета Васэда и других ВУЗов Азии.

                
        	
    	
    	
    	
        	
        		
        		    
        		    
                
                Ведущие российские и зарубежные преподаватели, квалификация которых отвечает высоким международным критериям отбора.

                
        	
    	
    	
    	
        	
        		
        		    
        		    
                
                Учебные планы и программы дисциплин, разработанные согласно международным стандартам нацелены на комплексное, всестороннее и углубленное изучение современной экономики и политики стран Азии, а также одной из дополнительных специализаций.

                
        	
    	
    	
    	
        	
        		
        		    
        		    
                
                ​​​​Самый большой в России объем аудиторных часов преподавания восточных языков: 18-22 академических часа в неделю в течение 1-3 курса.

                
        	
    	
    	
    	
        	
        		
        		    
        		    
                
                Малые языковые группы (8-12 чел.). Восточный язык изучается с учётом различных аспектов языковой деятельности, в том числе устный и письменный перевод с использованием профессиональной лексики, чтение, реферирование, язык СМИ и др. При этом активно используются материалы по экономике, внешней и внутренней политике, международным отношениям, истории и культуре страны изучаемого языка.

                
        	
    	
    	
    	
        	
        		
        		    
        		    
                
                Возможность изучать второй восточный или западный язык.

                
        	
    	
    	
    	
        	
        		
        		    
        		    
                
                Возможность получить международные сертификаты, подтверждающие уровень владения английским или восточным языком: TOEFL, IELTS, а также: JLPT, TOPIK, HSK. В конце второго курса все студенты сдают независимый экзамен по международным стандартам (IELTS).

                
        	
    	
    	
    

        


    
        
    	
        	
        		
        		    
        		    
                
                Современные методы обучения. Новейшие учебники и учебные пособия Кореи, Китая, Японии, России и США. Наличие собственной библиотеки. Доступ к обширным информационно-образовательным базам, подпискам и электронным библиотекам двух крупнейших университетов.

                
        	
    	
    	
    	
        	
        		
        		    
        		    
                
                Преддипломная практика: в ведущих российских и зарубежных компаниях, научно-исследовательских организациях и органах государственной власти.

                
        	
    	
    	
    	
        	
        		
        		    
        		    
                
                Широкое пространство для выбора. Индивидуальный подход позволяет студенту сформировать свою траекторию профессионального роста. Научно-исследовательская и проектная деятельность, обширный список курсов по выбору позволяют в процессе обучения определить свои будущие профессиональные склонности и перспективы карьеры.

                
        	
    	
    	
    	
        	
        		
        		    
        		    
                
                Высокий уровень подготовки позволит продолжить обучение на магистерских программах в ведущих зарубежных вузах.

                
        	
    	
    	
    










    
    
    
    
    
    
        
            Часто задаваемые вопросы
        
    
    Что такое «Зарубежное регионоведение»?
    Программы подготовки по направлению «Зарубежное регионоведение» («International Studies», «Area studies» или «Regional studies» стали появляться в системе высшего образования США, Европы и некоторых стран Азии в середине XX века. Именно регионоведение, рассматривая, например, Восточную, Юго-Восточную Азию или Ближний Восток, как один из регионов мира, уменьшило долю философии, культуры, религии, литературы и истории, являющихся фундаментальными в востоковедении. И это место заняли другие дисциплины, необходимые для подготовки современного регионоведа, связанные с изучением экономики, специфики предпринимательской деятельности, политики, международных отношений страны или региона. В дальнейшем “area studies”, “regional studies” или “international studies” стали широко применяться во многих университетах США, Европы и Азии, где наряду с программами по востоковедению появились новые программы бакалавриата и магистратуры по зарубежному регионоведению:


	Оксфордский университет
	Гарвардский университет
	Лондонский университет (SOAS)
	Лейденский университет 
	Токийский университет иностранных языков 
	Шанхайский университет иностранных языков
	Корейский университет иностранных языков
	Университет Кёнхи и т.д.


    
        
            
                Другие вопросы","Абитуриентам","https://www.hse.ru/ba/epa/admission/","41.03.01 Зарубежное регионоведение
41.03.06 Публичная политика и социальные науки","Кампус в Москве
Факультет мировой экономики и мировой политики","41.03.01 Зарубежное регионоведениеИстория (минимальный балл: 60)
Иностранный язык (минимальный балл: 70)
Русский язык (минимальный балл: 60)41.03.06 Публичная политика и социальные наукиРусский язык (минимальный балл: 60)
Иностранный язык (минимальный балл: 70)
Обществознание (минимальный балл: 60)","700 000 руб. в год","41.03.01 Зарубежное регионоведение45 платных мест5 платных мест для иностранцев41.03.06 Публичная политика и социальные науки95 платных мест5 платных мест для иностранцев","4 года","Очная","Обучение ведётся полностью на английском языке"
